timestamp,x_m,y_m,yaw_deg
1787490137.1433609,0.0,0.0,0.0
1787490137.144227,-1.57386,-1.8104,0.0
1787490137.2452607,5e-05,2e-05,0.0
1787490137.3446622,0.01052,0.0039,0.0
1787490137.4457588,0.04611,0.01667,0.0
1787490137.5435355,0.08532,0.03236,0.0
1787490137.6455913,0.11751,0.04521,0.0
1787490137.7632046,0.14035,0.05381,0.0
1787490137.8631213,0.16314,0.06319,0.0
1787490137.962333,0.19243,0.07493,0.0
1787490138.0638843,0.22484,0.08749,0.0
1787490138.162724,0.25274,0.09873,0.0
1787490138.2854278,0.27244,0.10463,0.0
1787490138.3982065,0.28796,0.1167,0.0
1787490138.5043004,0.31785,0.13334,0.0
1787490138.604266,0.3523,0.15181,0.0
1787490138.7040346,0.37893,0.16673,0.0
1787490138.8039067,0.39944,0.17789,0.0
1787490138.9043572,0.42232,0.19168,0.0
1787490139.0046022,0.45152,0.2076,0.0
1787490139.1038976,0.48136,0.22414,0.0
1787490139.2031362,0.50682,0.23851,0.0
1787490139.3247168,0.53101,0.25124,0.0
1787490139.4238665,0.55695,0.26502,0.0
1787490139.5244927,0.58499,0.27955,0.0
1787490139.6247811,0.61333,0.29353,0.0
1787490139.724912,0.6524,0.31349,0.0
1787490139.847563,0.67888,0.32613,0.0
1787490139.9473789,0.70701,0.33823,0.0
1787490140.047387,0.73586,0.35022,0.0
1787490140.143859,0.76446,0.36124,0.0
1787490140.2637215,0.79241,0.37204,0.0
1787490140.3637452,0.82049,0.38233,0.0
1787490140.4643512,0.84928,0.39188,0.0
1787490140.5659678,0.87876,0.40146,0.0
1787490140.6647627,0.90218,0.40718,0.0
1787490140.7645802,0.91105,0.41093,0.0
1787490140.8637938,0.92033,0.41481,0.0
1787490140.964797,0.93557,0.42239,0.0
1787490141.0654848,0.95169,0.43095,0.0
1787490141.1652973,0.96588,0.43922,0.0
1787490141.2652483,0.97891,0.44782,0.0
1787490141.3645747,0.99204,0.45704,0.0
1787490141.4848921,1.01059,0.47237,0.0
1787490141.5839553,1.01628,0.47777,0.0
1787490141.6832726,1.03275,0.49496,0.0
1787490141.782985,1.04301,0.50702,0.0
1787490141.8831906,1.05299,0.519,0.0
1787490141.982738,1.06288,0.53163,0.0
1787490142.0829213,1.07929,0.55499,0.0
1787490142.182973,1.10152,0.58712,0.0
1787490142.3048253,1.12121,0.61659,0.0
1787490142.4045222,1.1351,0.63913,0.0
1787490142.50345,1.14824,0.66022,0.0
1787490142.605547,1.1667,0.6833,0.0
1787490142.7165701,1.18897,0.70602,0.0
1787490142.8051994,1.20219,0.71939,0.0
1787490142.9036546,1.21004,0.72834,0.0
1787490143.004094,1.21904,0.739,0.0
1787490143.1033707,1.22783,0.75229,0.0
1787490143.2036488,1.23693,0.76657,0.0
1787490143.3039632,1.24442,0.78295,0.0
1787490143.4032333,1.25646,0.80855,0.0
1787490143.5065687,1.27603,0.84092,0.0
1787490143.606594,1.29676,0.87054,0.0
1787490143.7138395,1.31416,0.8927,0.0
1787490143.8236382,1.33085,0.90902,0.0
1787490143.9246898,1.34337,0.91989,0.0
1787490144.0248048,1.34947,0.92984,0.0
1787490144.1236842,1.35892,0.94235,0.0
1787490144.2241764,1.3724,0.96351,0.0
1787490144.3250864,1.37989,0.97767,0.0
1787490144.4242115,1.3869,0.99641,0.0
1787490144.5242257,1.39929,1.02331,0.0
1787490144.6240668,1.4118,1.05195,0.0
1787490144.7446363,1.42213,1.0708,0.0
1787490144.8445868,1.4291,1.08257,0.0
1787490144.9444072,1.43674,1.09345,0.0
1787490145.0442784,1.44707,1.1066,0.0
1787490145.1443079,1.45305,1.11483,0.0
1787490145.2652833,1.4489,1.10548,0.0
1787490145.365113,1.44678,1.1021,0.0
1787490145.4645135,1.44847,1.10167,0.0
1787490145.564376,1.44953,1.10263,0.0
1787490145.6652238,1.44642,1.1064,0.0
1787490145.7652133,1.44467,1.1072,0.0
1787490145.8641965,1.44379,1.10687,0.0
1787490145.963061,1.44495,1.10649,0.0
1787490146.0635116,1.44794,1.10386,0.0
1787490146.1642275,1.44854,1.10365,0.0
1787490146.2636216,1.4496,1.1027,0.0
1787490146.3643796,1.44971,1.10268,0.0
1787490146.463921,1.44767,1.10671,0.0
1787490146.564309,1.44656,1.10697,0.0
1787490146.664453,1.4452,1.10661,0.0
1787490146.78443,1.44644,1.10678,0.0
1787490146.8859956,1.45006,1.10364,0.0
1787490146.984086,1.45043,1.10304,0.0
1787490147.0837872,1.4484,1.10626,0.0
1787490147.1847782,1.45173,1.10245,0.0
1787490147.2838237,1.45241,1.10294,0.0
1787490147.3855042,1.45286,1.10285,0.0
1787490147.4848099,1.45017,1.10713,0.0
1787490147.583638,1.44854,1.10712,0.0
1787490147.6856477,1.44804,1.10735,0.0
1787490147.7842438,1.44988,1.10771,0.0
1787490147.885262,1.453,1.10355,0.0
1787490148.003738,1.45323,1.10392,0.0
1787490148.1041431,1.45271,1.10426,0.0
1787490148.203343,1.45253,1.10471,0.0
1787490148.3027778,1.45006,1.10895,0.0
1787490148.4031856,1.44848,1.10906,0.0
1787490148.5026484,1.44826,1.10896,0.0
1787490148.6022825,1.44984,1.10926,0.0
1787490148.7071445,1.45276,1.10518,0.0
1787490148.8038836,1.45288,1.10471,0.0
1787490148.9033225,1.45126,1.10852,0.0
1787490149.003539,1.45413,1.10485,0.0
1787490149.1033201,1.45405,1.10567,0.0
1787490149.2040715,1.45383,1.10569,0.0
1787490149.3242142,1.45071,1.10931,0.0
1787490149.4243784,1.44968,1.10943,0.0
1787490149.5240922,1.44963,1.10878,0.0
1787490149.62482,1.45229,1.10557,0.0
1787490149.7441278,1.45322,1.1057,0.0
1787490149.8440294,1.45405,1.1058,0.0
1787490149.9437819,1.45358,1.10529,0.0
1787490150.0460258,1.45053,1.10877,0.0
1787490150.144372,1.44922,1.10937,0.0
1787490150.2446036,1.44854,1.109,0.0
1787490150.3445058,1.44957,1.1086,0.0
1787490150.4444351,1.45149,1.10544,0.0
1787490150.544139,1.45053,1.10716,0.0
1787490150.6442175,1.45087,1.10861,0.0
1787490150.7451038,1.45021,1.10811,0.0
1787490150.844598,1.44994,1.10768,0.0
1787490150.9444273,1.44997,1.10836,0.0
1787490151.0443075,1.45064,1.10811,0.0
1787490151.144122,1.45138,1.10753,0.0
1787490151.2644196,1.4517,1.10678,0.0
1787490151.3640513,1.45201,1.10701,0.0
1787490151.4643106,1.45235,1.10731,0.0
1787490151.5643327,1.45262,1.1075,0.0
1787490151.68534,1.45292,1.10706,0.0
1787490151.7834396,1.4537,1.10625,0.0
1787490151.884751,1.45365,1.10608,0.0
1787490151.984497,1.45329,1.10595,0.0
1787490152.0845463,1.45371,1.1057,0.0
1787490152.185025,1.4541,1.10567,0.0
1787490152.3043647,1.45555,1.10345,0.0
1787490152.403142,1.4694,1.09621,0.0
1787490152.504215,1.4894,1.08417,0.0
1787490152.6049526,1.50754,1.07063,0.0
1787490152.7076347,1.52261,1.05853,0.0
1787490152.804052,1.53871,1.04583,0.0
1787490152.9262753,1.55754,1.03034,0.0
1787490153.025914,1.57616,1.01403,0.0
1787490153.1257446,1.5952,0.99845,0.0
1787490153.224871,1.61353,0.98276,0.0
1787490153.3256383,1.63001,0.96906,0.0
1787490153.4227269,1.64427,0.95676,0.0
1787490153.5238771,1.659,0.94371,0.0
1787490153.6273625,1.67355,0.93285,0.0
1787490153.7245321,1.68364,0.92612,0.0
1787490153.8255022,1.69146,0.9234,0.0
1787490153.9249227,1.69245,0.92417,0.0
1787490154.0241208,1.68766,0.928,0.0
1787490154.12359,1.68475,0.92911,0.0
1787490154.2241626,1.68694,0.92332,0.0
1787490154.3254519,1.69784,0.90916,0.0
1787490154.4250724,1.71713,0.88744,0.0
1787490154.52452,1.73664,0.86192,0.0
1787490154.6244078,1.74525,0.8574,0.0
1787490154.7244961,1.74398,0.86367,0.0
1787490154.8245676,1.73829,0.87103,0.0
1787490154.944983,1.73406,0.87073,0.0
1787490155.0446439,1.73631,0.8651,0.0
1787490155.1451313,1.7396,0.86306,0.0
1787490155.2448301,1.73919,0.86619,0.0
1787490155.3454099,1.73673,0.86865,0.0
1787490155.4437807,1.7349,0.86756,0.0
1787490155.544106,1.73489,0.86424,0.0
1787490155.644605,1.73,0.86004,0.0
1787490155.745647,1.72362,0.83987,0.0
1787490155.8454604,1.7142,0.80626,0.0
1787490155.9447887,1.70709,0.77941,0.0
1787490156.0452435,1.70428,0.76596,0.0
1787490156.1438456,1.70232,0.75806,0.0
1787490156.2454665,1.6992,0.74753,0.0
1787490156.3463025,1.69793,0.73609,0.0
1787490156.4450269,1.69972,0.73699,0.0
1787490156.5628579,1.70259,0.74486,0.0
1787490156.6637208,1.70143,0.748,0.0
1787490156.7628567,1.69639,0.74317,0.0
1787490156.8877494,1.67803,0.71343,0.0
1787490156.9872653,1.65639,0.68789,0.0
1787490157.084297,1.63267,0.66257,0.0
1787490157.1850328,1.61099,0.64298,0.0
1787490157.2844648,1.59146,0.62533,0.0
1787490157.3850453,1.57135,0.60483,0.0
1787490157.4845753,1.54803,0.58256,0.0
1787490157.5855756,1.52415,0.56059,0.0
1787490157.6844826,1.50337,0.54093,0.0
1787490157.7838674,1.48313,0.52142,0.0
1787490157.884154,1.46313,0.50133,0.0
1787490157.9836936,1.44551,0.48324,0.0
1787490158.084507,1.43455,0.47016,0.0
1787490158.1840177,1.43384,0.46547,0.0
1787490158.2858312,1.44194,0.47103,0.0
1787490158.4042113,1.4475,0.47759,0.0
1787490158.5036383,1.44123,0.47709,0.0
1787490158.6048248,1.41701,0.46798,0.0
1787490158.7086587,1.37897,0.4489,0.0
1787490158.8042388,1.34227,0.4312,0.0
1787490158.9045684,1.317,0.41934,0.0
1787490159.0040529,1.29826,0.40968,0.0
1787490159.104669,1.27365,0.39663,0.0
1787490159.2247272,1.24253,0.37974,0.0
1787490159.3228729,1.21433,0.36283,0.0
1787490159.4232414,1.20135,0.35288,0.0
1787490159.5235686,1.20976,0.35651,0.0
1787490159.624407,1.21961,0.35986,0.0
1787490159.724218,1.21347,0.36751,0.0
1787490159.8438973,1.17618,0.36159,0.0
1787490159.9440942,1.13347,0.35421,0.0
1787490160.0442567,1.09655,0.34827,0.0
1787490160.14401,1.07099,0.34381,0.0
1787490160.2434049,1.04839,0.3397,0.0
1787490160.3443077,1.01972,0.3339,0.0
1787490160.4437501,0.98578,0.32734,0.0
1787490160.5643387,0.95388,0.32122,0.0
1787490160.663609,0.92709,0.31472,0.0
1787490160.7651286,0.90165,0.30738,0.0
1787490160.8660355,0.87299,0.29918,0.0
1787490160.9663649,0.84224,0.2905,0.0
1787490161.0644948,0.81271,0.28203,0.0
1787490161.1650689,0.78516,0.27417,0.0
